Reference	ID	Tags	OrigWords	Occurrence	TWLink
12:33	npcg	name	עֶזְרָ֖א	1	rc://*/tw/dict/bible/names/ezra
12:34	t68t	name	וְ⁠יִרְמְיָֽה	1	rc://*/tw/dict/bible/names/jeremiah
12:34	pk5k	name	וּ⁠בִנְיָמִ֔ן	1	rc://*/tw/dict/bible/names/benjamin
12:35	ldqf	name	זְכַרְיָ֨ה	1	rc://*/tw/dict/bible/names/zechariahot
12:35	newo	name	אָסָֽף	1	rc://*/tw/dict/bible/names/asaph
12:35	prr8	keyterm	וּ⁠מִ⁠בְּנֵ֥י	1	rc://*/tw/dict/bible/kt/son
12:35	gdvb	keyterm	הַ⁠כֹּהֲנִ֖ים	1	rc://*/tw/dict/bible/kt/priest
12:35	kupc		בַּ⁠חֲצֹצְר֑וֹת	1	rc://*/tw/dict/bible/other/trumpet
12:35	mcw3	keyterm	בֶן	1	rc://*/tw/dict/bible/kt/son
12:35	eq42	keyterm	בֶּן	1	rc://*/tw/dict/bible/kt/son
12:35	pj5k	keyterm	בֶּן	2	rc://*/tw/dict/bible/kt/son
12:35	paaf	keyterm	בֶּן	3	rc://*/tw/dict/bible/kt/son
12:35	m9sw	keyterm	בֶּן	4	rc://*/tw/dict/bible/kt/son
12:35	m5dg	keyterm	בֶּן	5	rc://*/tw/dict/bible/kt/son
12:36	s9tu	keyterm	וְֽ⁠אֶחָ֡י⁠ו	1	rc://*/tw/dict/bible/kt/brother
12:36	ccsg	name	דָּוִ֖יד	1	rc://*/tw/dict/bible/names/david
12:36	d5ma	keyterm	הָ⁠אֱלֹהִ֑ים	1	rc://*/tw/dict/bible/kt/god
12:36	npzs	name	וְ⁠עֶזְרָ֥א	1	rc://*/tw/dict/bible/names/ezra
12:36	z87p	keyterm	הַ⁠סּוֹפֵ֖ר	1	rc://*/tw/dict/bible/kt/scribe
12:37	xwgy		שַׁ֨עַר	1	rc://*/tw/dict/bible/other/gate
12:37	kyhp	name	דָּוִ֔יד	1	rc://*/tw/dict/bible/names/david
12:37	rxfd		לְ⁠בֵ֣ית	1	rc://*/tw/dict/bible/other/house
12:37	cqaw	name	דָּוִ֔יד	2	rc://*/tw/dict/bible/names/david
12:37	s6ym		שַׁ֥עַר	1	rc://*/tw/dict/bible/other/gate
12:39	chec		לְ⁠שַֽׁעַר	1	rc://*/tw/dict/bible/other/gate
12:39	yev8	name	אֶ֠פְרַיִם	1	rc://*/tw/dict/bible/names/ephraim
12:39	aeb5		שַׁ֨עַר	1	rc://*/tw/dict/bible/other/gate
12:39	dfde		שַׁ֣עַר	1	rc://*/tw/dict/bible/other/gate
12:39	d2zm		שַׁ֣עַר	2	rc://*/tw/dict/bible/other/gate
12:39	wbec		הַ⁠צֹּ֑אן	1	rc://*/tw/dict/bible/other/sheep
12:39	f8h4		בְּ⁠שַׁ֖עַר	1	rc://*/tw/dict/bible/other/gate
12:40	yc5t	keyterm	בְּ⁠בֵ֣ית	1	rc://*/tw/dict/bible/kt/temple
12:40	jjaf	keyterm	הָ⁠אֱלֹהִ֑ים	1	rc://*/tw/dict/bible/kt/god
12:40	b8f9		הַ⁠סְּגָנִ֖ים	1	rc://*/tw/dict/bible/other/ruler
12:41	vpb1	name	זְכַרְיָ֥ה	1	rc://*/tw/dict/bible/names/zechariahot
12:41	xd9z	name	חֲנַנְיָ֖ה	1	rc://*/tw/dict/bible/names/hananiah
12:41	ibix	name	אֶלְיָקִ֡ים	1	rc://*/tw/dict/bible/names/eliakim
12:41	ffrh	keyterm	וְ⁠הַ⁠כֹּהֲנִ֡ים	1	rc://*/tw/dict/bible/kt/priest
12:41	pbym		בַּ⁠חֲצֹצְרֽוֹת	1	rc://*/tw/dict/bible/other/trumpet
12:42	qcxo	name	וְ⁠אֶלְעָזָ֧ר	1	rc://*/tw/dict/bible/names/eleazar
12:43	eh2q		וַ⁠יִּזְבְּח֣וּ	1	rc://*/tw/dict/bible/other/sacrifice
12:43	nr32		זְבָחִ֨ים	1	rc://*/tw/dict/bible/other/sacrifice
12:43	jeqp		וַ⁠יִּשְׂמָ֗חוּ	1	rc://*/tw/dict/bible/other/joy
12:43	gryb	keyterm	הָ⁠אֱלֹהִים֙	1	rc://*/tw/dict/bible/kt/god
12:43	ntf3		שִׂמְּחָ⁠ם֙	1	rc://*/tw/dict/bible/other/joy
12:43	hjcd		שִׂמְחָ֣ה	1	rc://*/tw/dict/bible/other/joy
12:43	r3ub		שָׂמֵ֑חוּ	1	rc://*/tw/dict/bible/other/joy
12:43	pr4v		שִׂמְחַ֥ת	1	rc://*/tw/dict/bible/other/joy
12:43	swqy	name	יְרוּשָׁלִַ֖ם	1	rc://*/tw/dict/bible/names/jerusalem
12:44	q2ca	keyterm	וַ⁠יִּפָּקְד֣וּ	1	rc://*/tw/dict/bible/kt/appoint
12:44	wa3n		לָ⁠א֨וֹצָר֥וֹת	1	rc://*/tw/dict/bible/other/storehouse
12:44	kw6f		לָ⁠רֵאשִׁ֣ית	1	rc://*/tw/dict/bible/other/firstfruit
12:44	kwq8	keyterm	הַ⁠תּוֹרָ֔ה	1	rc://*/tw/dict/bible/kt/lawofmoses
12:44	mung	keyterm	לַ⁠כֹּהֲנִ֖ים	1	rc://*/tw/dict/bible/kt/priest
12:44	qwam	name	וְ⁠לַ⁠לְוִיִּ֑ם	1	rc://*/tw/dict/bible/names/levite
12:44	p3pd		שִׂמְחַ֣ת	1	rc://*/tw/dict/bible/other/joy
12:44	pd5j	name	יְהוּדָ֔ה	1	rc://*/tw/dict/bible/names/judea
12:44	zry6	keyterm	הַ⁠כֹּהֲנִ֥ים	1	rc://*/tw/dict/bible/kt/priest
12:44	wnfk	name	הַ⁠לְוִיִּ֖ם	1	rc://*/tw/dict/bible/names/levite
12:45	rxpg	keyterm	אֱלֹֽהֵי⁠הֶם֙	1	rc://*/tw/dict/bible/kt/god
12:45	b3e6	keyterm	הַֽ⁠טָּהֳרָ֔ה	1	rc://*/tw/dict/bible/kt/purify
12:45	wmeg		וְ⁠הַ⁠שֹּׁעֲרִ֑ים	1	rc://*/tw/dict/bible/other/gate
12:45	nj6t	keyterm	כְּ⁠מִצְוַ֥ת	1	rc://*/tw/dict/bible/kt/command
12:45	hgpt	name	דָּוִ֖יד	1	rc://*/tw/dict/bible/names/david
12:45	ntsu	name	שְׁלֹמֹ֥ה	1	rc://*/tw/dict/bible/names/solomon
12:45	tuay	keyterm	בְנֽ⁠וֹ	1	rc://*/tw/dict/bible/kt/son
12:46	dusk	name	דָוִ֛יד	1	rc://*/tw/dict/bible/names/david
12:46	m7ry	name	וְ⁠אָסָ֖ף	1	rc://*/tw/dict/bible/names/asaph
12:46	kve8		ראש	1	rc://*/tw/dict/bible/other/head
12:46	nauk		תְּהִלָּ֥ה	1	rc://*/tw/dict/bible/other/praise
12:46	az2t	keyterm	לֵֽ⁠אלֹהִֽים	1	rc://*/tw/dict/bible/kt/god
12:47	dhnq	keyterm	יִשְׂרָאֵל֩	1	rc://*/tw/dict/bible/kt/israel
12:47	qnpy	name	זְרֻבָּבֶ֜ל	1	rc://*/tw/dict/bible/names/zerubbabel
12:47	hzcg	name	נְחֶמְיָ֗ה	1	rc://*/tw/dict/bible/names/nehemiah
12:47	gx4a		וְ⁠הַ⁠שֹּׁעֲרִ֖ים	1	rc://*/tw/dict/bible/other/gate
12:47	hfjj	keyterm	וּ⁠מַקְדִּשִׁים֙	1	rc://*/tw/dict/bible/kt/consecrate
12:47	xddz	name	לַ⁠לְוִיִּ֔ם	1	rc://*/tw/dict/bible/names/levite
12:47	pcj9	name	וְ⁠הַ⁠לְוִיִּ֔ם	1	rc://*/tw/dict/bible/names/levite
12:47	v4vv	keyterm	מַקְדִּשִׁ֖ים	1	rc://*/tw/dict/bible/kt/consecrate
12:47	cymj	keyterm	לִ⁠בְנֵ֥י	1	rc://*/tw/dict/bible/kt/son
12:47	ngy6	name	אַהֲרֹֽן	1	rc://*/tw/dict/bible/names/aaron
13:1	p5bm	name	מֹשֶׁ֖ה	1	rc://*/tw/dict/bible/names/moses
13:1	bab8	name	עַמֹּנִ֧י	1	rc://*/tw/dict/bible/names/ammon
13:1	nvbq	name	וּ⁠מֹאָבִ֛י	1	rc://*/tw/dict/bible/names/moab
13:1	nm95		בִּ⁠קְהַ֥ל	1	rc://*/tw/dict/bible/other/assembly
13:1	da6y	keyterm	הָ⁠אֱלֹהִ֖ים	1	rc://*/tw/dict/bible/kt/god
13:1	rbxm	keyterm	עוֹלָֽם	1	rc://*/tw/dict/bible/kt/eternity
13:2	uazf	keyterm	בְּנֵ֥י	1	rc://*/tw/dict/bible/kt/son
13:2	h565	keyterm	יִשְׂרָאֵ֖ל	1	rc://*/tw/dict/bible/kt/israel
13:2	auyn	name	בִּלְעָם֙	1	rc://*/tw/dict/bible/names/balaam
13:2	gcmk	keyterm	לְ⁠קַֽלְל֔⁠וֹ	1	rc://*/tw/dict/bible/kt/curse
13:2	bwbk	keyterm	אֱלֹהֵ֛י⁠נוּ	1	rc://*/tw/dict/bible/kt/god
