Reference	ID	Tags	OrigWords	Occurrence	TWLink
1:12	pbk6	keyterm	συνειδήσεως	1	rc://*/tw/dict/bible/kt/conscience
1:12	wwyz	keyterm	ἁγιότητι	1	rc://*/tw/dict/bible/kt/holy
1:12	etdx	keyterm	Θεοῦ	1	rc://*/tw/dict/bible/kt/god
1:12	y333	keyterm	σοφίᾳ	1	rc://*/tw/dict/bible/kt/wise
1:12	nvcc	keyterm	σαρκικῇ	1	rc://*/tw/dict/bible/kt/flesh
1:12	meey	keyterm	χάριτι	1	rc://*/tw/dict/bible/kt/grace
1:12	jgv5	keyterm	Θεοῦ	2	rc://*/tw/dict/bible/kt/god
1:12	tpha	keyterm	κόσμῳ	1	rc://*/tw/dict/bible/kt/world
1:13	zkv8		ἐπιγινώσκετε	1	rc://*/tw/dict/bible/other/understand
1:13	prfv	keyterm	ἐλπίζω	1	rc://*/tw/dict/bible/kt/hope
1:13	yw4m		ἐπιγνώσεσθε	1	rc://*/tw/dict/bible/other/understand
1:14	a9y5		καθὼς	1	rc://*/tw/dict/bible/other/like
1:14	hqsp		ἐπέγνωτε	1	rc://*/tw/dict/bible/other/understand
1:14	fn5y	keyterm	καύχημα	1	rc://*/tw/dict/bible/kt/boast
1:14	f4rh		ἡμέρᾳ	1	rc://*/tw/dict/bible/other/biblicaltimeday
1:14	pykr	keyterm	Κυρίου	1	rc://*/tw/dict/bible/kt/lord
1:14	xkvn	keyterm	ἡμέρᾳ τοῦ Κυρίου	1	rc://*/tw/dict/bible/kt/dayofthelord
1:14	ew65	keyterm; name	Ἰησοῦ	1	rc://*/tw/dict/bible/kt/jesus
1:15	a56x		πεποιθήσει	1	rc://*/tw/dict/bible/other/confidence
1:15	egze	keyterm	χάριν	1	rc://*/tw/dict/bible/kt/grace
1:16	samc	name	Μακεδονίαν	1	rc://*/tw/dict/bible/names/macedonia
1:16	y39g	name	Μακεδονίας	1	rc://*/tw/dict/bible/names/macedonia
1:16	zqe6		προπεμφθῆναι	1	rc://*/tw/dict/bible/other/send
1:16	df66	name	Ἰουδαίαν	1	rc://*/tw/dict/bible/names/judea
1:17	gd5s	keyterm	σάρκα	1	rc://*/tw/dict/bible/kt/flesh
1:18	nhzb	keyterm	πιστὸς	1	rc://*/tw/dict/bible/kt/faithful
1:18	qymt	keyterm	Θεὸς	1	rc://*/tw/dict/bible/kt/god
1:19	evvr	keyterm	Θεοῦ	1	rc://*/tw/dict/bible/kt/god
1:19	u7sw	keyterm	Υἱὸς	1	rc://*/tw/dict/bible/kt/sonofgod
1:19	re2v	keyterm; name	Ἰησοῦς	1	rc://*/tw/dict/bible/kt/jesus
1:19	wcgr	keyterm	Χριστός	1	rc://*/tw/dict/bible/kt/christ
1:19	jwxd		κηρυχθείς	1	rc://*/tw/dict/bible/other/preach
1:19	jdav	name	Τιμοθέου	1	rc://*/tw/dict/bible/names/timothy
1:20	jusq	keyterm	ἐπαγγελίαι	1	rc://*/tw/dict/bible/kt/promise
1:20	v7ye	keyterm	Θεοῦ	1	rc://*/tw/dict/bible/kt/god
1:20	d8zc	keyterm	Ἀμὴν	1	rc://*/tw/dict/bible/kt/amen
1:20	hc2p	keyterm	Θεῷ	1	rc://*/tw/dict/bible/kt/god
1:20	p4fh	keyterm	δόξαν	1	rc://*/tw/dict/bible/kt/glory
1:21	h58m		βεβαιῶν	1	rc://*/tw/dict/bible/other/confirm
1:21	v6bj	keyterm	Χριστὸν	1	rc://*/tw/dict/bible/kt/christ
1:21	b8cf	keyterm	εἰς Χριστὸν	1	rc://*/tw/dict/bible/kt/inchrist
1:21	z6w9	keyterm	χρίσας	1	rc://*/tw/dict/bible/kt/anoint
1:21	jm6h	keyterm	Θεός	1	rc://*/tw/dict/bible/kt/god
1:22	gxyq		σφραγισάμενος	1	rc://*/tw/dict/bible/other/seal
1:22	fkm7		ἀρραβῶνα	1	rc://*/tw/dict/bible/other/pledge
1:22	ajc9	keyterm	Πνεύματος	1	rc://*/tw/dict/bible/kt/holyspirit
1:22	a45b	keyterm	καρδίαις	1	rc://*/tw/dict/bible/kt/heart
1:23	pbqg	keyterm	μάρτυρα	1	rc://*/tw/dict/bible/kt/testimony
1:23	rsx5	keyterm	Θεὸν	1	rc://*/tw/dict/bible/kt/god
1:23	k88z	keyterm	ἐπικαλοῦμαι	1	rc://*/tw/dict/bible/kt/call
1:23	whzp	keyterm	ψυχήν	1	rc://*/tw/dict/bible/kt/soul
1:23	xdhh	name	Κόρινθον	1	rc://*/tw/dict/bible/names/corinth
1:24	yr5w		κυριεύομεν	1	rc://*/tw/dict/bible/other/ruler
1:24	s9u4	keyterm	πίστεως	1	rc://*/tw/dict/bible/kt/faith
1:24	q7sp		συνεργοί	1	rc://*/tw/dict/bible/other/companion
1:24	wg3g		χαρᾶς	1	rc://*/tw/dict/bible/other/joy
1:24	bk22	keyterm	πίστει	1	rc://*/tw/dict/bible/kt/faith
2:1	uzuy	keyterm	ἔκρινα	1	rc://*/tw/dict/bible/kt/judge
2:3	xze5		χαίρειν	1	rc://*/tw/dict/bible/other/joy
2:3	wc4g		πεποιθὼς	1	rc://*/tw/dict/bible/other/confidence
2:3	mk9y		χαρὰ	1	rc://*/tw/dict/bible/other/joy
2:4	ksuf		θλίψεως	1	rc://*/tw/dict/bible/other/tribulation
2:4	cxap		συνοχῆς	1	rc://*/tw/dict/bible/other/anguish
2:4	wkjh	keyterm	καρδίας	1	rc://*/tw/dict/bible/kt/heart
2:4	pmbp	keyterm	ἀγάπην	1	rc://*/tw/dict/bible/kt/love
2:4	phx5		γνῶτε	1	rc://*/tw/dict/bible/other/know
2:5	ka39		ἐπιβαρῶ	1	rc://*/tw/dict/bible/other/burden
2:6	vzc5		ἐπιτιμία	1	rc://*/tw/dict/bible/other/punish
2:7	wwyx	keyterm	χαρίσασθαι	1	rc://*/tw/dict/bible/kt/forgive
2:7	kkxh		παρακαλέσαι	1	rc://*/tw/dict/bible/other/comfort
2:8	vs5g	keyterm	παρακαλῶ	1	rc://*/tw/dict/bible/kt/exhort
2:8	argw		κυρῶσαι	1	rc://*/tw/dict/bible/other/confirm
2:8	dcrh	keyterm	ἀγάπην	1	rc://*/tw/dict/bible/kt/love
2:9	egx7		γνῶ	1	rc://*/tw/dict/bible/other/know
2:9	zvqg		ὑπήκοοί	1	rc://*/tw/dict/bible/other/obey
2:10	r58d	keyterm	χαρίζεσθε	1	rc://*/tw/dict/bible/kt/forgive
2:10	s8ra	keyterm	κεχάρισμαι	1	rc://*/tw/dict/bible/kt/forgive
2:10	y763	keyterm	κεχάρισμαι	2	rc://*/tw/dict/bible/kt/forgive
2:10	a97v	keyterm	Χριστοῦ	1	rc://*/tw/dict/bible/kt/christ
2:11	rm6r	keyterm	Σατανᾶ	1	rc://*/tw/dict/bible/kt/satan
2:11	vxk9		ἀγνοοῦμεν	1	rc://*/tw/dict/bible/other/know
2:12	yvfk	name	Τρῳάδα	1	rc://*/tw/dict/bible/names/troas
2:12	khw6	keyterm	εὐαγγέλιον	1	rc://*/tw/dict/bible/kt/goodnews
2:12	dvpe	keyterm	Χριστοῦ	1	rc://*/tw/dict/bible/kt/christ
